SMILES,Texpi
CCOC1=CC2=C(C=C1)C=CC(=O)O2,305
CCOC1=CC2=C(C=C1)C=CC(=O)O2,305
CCOCC,303
CCOCCO,303
CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,310
CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,298
CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,298
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,310
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,310
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,305
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,305
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,305
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,303
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,305
CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,305
CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,305
CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3,310
CO,298
CO,303
CO,310
COC(=O)C1=CC=C(C=C1)O,298
COC(=O)C1=CC=C(C=C1)O,305
COC(=O)C1=CC=C(C=C1)O,310
COC(=O)C1=CC=C(C=C1)O,305
COC(=O)C1=CC=CC=C1C(=O)OC,305
COC(=O)C1=CC=CC=C1C(=O)OC,305
COC(=O)C1=CC=CC=C1O,305
COC(=O)C1=CN=CC=C1,310
COC(=O)C1=CN=CC=C1,310
COC(=O)CC1=CC=C(C=C1)O,310
COC(C(C=O)O)C(C(CO)O)O,310
COC1=C(C=CC(=C1)CC=C)O,305
COC1=C(C=CC(=C1)CC=C)O,305
COS(=O)(=O)C,305
COS(=O)(=O)C,305
O,303
O,305
O,303
O,298
O,298
O,305
O,305
O,305
O,303
O,303
O,298
O,304
O,304
O,304
O,304
O,304
O,304
O,305
O,305
O,305
O,305
O,305
O,305
O,305
O,305
O,305
O,305
O,305
O,305
O,305
O,305
