Variability_Rank,Canonical_SMILES,Compound_Name,Selected_Measurements,Experimental_Min,Experimental_Max,Experimental_Mean,Experimental_Median,Experimental_SD,Predicted_Min,Predicted_Max,Condition_Signatures,References,DOIs,Experimental_Range,Experimental_Fold_Range_Kp,Predicted_Range,Variability_Band
99,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,Chlorpheniramine,1,-6.21600000,-6.21600000,-6.21600000,-6.21600000,,-5.68181778,-5.68181778,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
100,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,Cortexone,1,-6.90300000,-6.90300000,-6.90300000,-6.90300000,,-6.81966170,-6.81966170,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
101,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,Cortisone,1,-7.38000000,-7.38000000,-7.38000000,-7.38000000,,-7.39868215,-7.39868215,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
102,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,Dexamethasone,1,-7.75000000,-7.75000000,-7.75000000,-7.75000000,,-7.78650657,-7.78650657,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
103,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,Diazinon,1,-5.61700000,-5.61700000,-5.61700000,-5.61700000,,-5.67907871,-5.67907871,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
104,O=C(O)C(Br)Br,Dibromoacetic acid,1,-6.14100000,-6.14100000,-6.14100000,-6.14100000,,-6.06796338,-6.06796338,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
105,O=C(O)C(Cl)Cl,Dichloroacetic acid,1,-6.27800000,-6.27800000,-6.27800000,-6.27800000,,-6.10701965,-6.10701965,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
106,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,Diclofenac,1,-6.55600000,-6.55600000,-6.55600000,-6.55600000,,-6.31830995,-6.31830995,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
107,CCN(C)C,Dimethylethylamine,1,-6.07900000,-6.07900000,-6.07900000,-6.07900000,,-6.01960398,-6.01960398,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
108,O.O.O.O.[Na+].[Na+].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-],Disodium octaborate tetrahydrate,1,-7.65300000,-7.65300000,-7.65300000,-7.65300000,,-7.22438885,-7.22438885,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
